Ind_Ext,Force_Ext,Ind_Ret,Force_Ret,Ind_Away,Force_Away,Ind_Ext2,Force_Ext2,IndentXWave,IndentFitWave
-9.65E-07,-3.90E-10,-9.29E-08,-7.55E-11,-1.14E-06,4.15E-09,,,-9.65E-07,0
-9.64E-07,-2.53E-10,-9.39E-08,6.24E-11,-1.14E-06,4.26E-09,,,-9.64E-07,0
-9.63E-07,-4.30E-10,-9.49E-08,-1.99E-10,-1.14E-06,4.24E-09,,,-9.63E-07,0
-9.62E-07,-4.17E-10,-9.59E-08,-6.05E-10,-1.14E-06,4.01E-09,,,-9.62E-07,0
-9.61E-07,-6.53E-10,-9.69E-08,-7.11E-10,-1.14E-06,4.01E-09,,,-9.61E-07,0
-9.60E-07,-7.27E-10,-9.79E-08,-4.96E-10,-1.14E-06,4.00E-09,,,-9.60E-07,0
-9.59E-07,-5.39E-10,-9.89E-08,-3.33E-10,-1.14E-06,4.21E-09,,,-9.59E-07,0
-9.58E-07,-5.53E-10,-1.00E-07,-1.04E-11,-1.14E-06,4.45E-09,,,-9.58E-07,0
-9.57E-07,-5.51E-10,-1.01E-07,-8.92E-13,-1.14E-06,4.62E-09,,,-9.57E-07,0
-9.55E-07,-2.59E-10,-1.02E-07,-8.26E-11,-1.14E-06,4.49E-09,,,-9.55E-07,0
-9.54E-07,-1.82E-10,-1.03E-07,-6.91E-11,-1.14E-06,4.63E-09,,,-9.54E-07,0
-9.53E-07,-2.64E-10,-1.04E-07,-5.80E-11,-1.14E-06,4.73E-09,,,-9.53E-07,0
-9.52E-07,-2.84E-10,-1.05E-07,7.07E-11,-1.14E-06,5.07E-09,,,-9.52E-07,0
-9.51E-07,-1.22E-10,-1.06E-07,4.23E-11,-1.14E-06,5.41E-09,,,-9.51E-07,0
-9.50E-07,-5.91E-12,-1.07E-07,1.82E-10,-1.14E-06,5.54E-09,,,-9.50E-07,0
-9.49E-07,2.23E-10,-1.08E-07,3.45E-10,-1.14E-06,5.49E-09,,,-9.49E-07,0
-9.48E-07,2.78E-10,-1.09E-07,8.38E-10,-1.14E-06,5.06E-09,,,-9.48E-07,0
-9.47E-07,3.16E-10,-1.10E-07,7.89E-10,-1.14E-06,4.92E-09,,,-9.47E-07,0
-9.46E-07,3.79E-10,-1.11E-07,4.42E-10,-1.14E-06,5.04E-09,,,-9.46E-07,0
-9.45E-07,5.45E-10,-1.12E-07,2.85E-10,-1.14E-06,5.24E-09,,,-9.45E-07,0
-9.44E-07,8.97E-10,-1.13E-07,4.95E-10,-1.14E-06,5.14E-09,,,-9.44E-07,0
-9.43E-07,1.00E-09,-1.14E-07,5.73E-10,-1.14E-06,5.11E-09,,,-9.43E-07,0
-9.42E-07,9.88E-10,-1.15E-07,6.95E-10,-1.14E-06,5.04E-09,,,-9.42E-07,0
-9.41E-07,1.18E-09,-1.16E-07,7.73E-10,-1.14E-06,5.17E-09,,,-9.41E-07,0
-9.40E-07,1.02E-09,-1.18E-07,8.38E-10,-1.14E-06,4.96E-09,,,-9.40E-07,0
-9.38E-07,7.63E-10,-1.19E-07,1.12E-09,-1.14E-06,4.85E-09,,,-9.38E-07,0
-9.37E-07,5.51E-10,-1.20E-07,1.05E-09,-1.14E-06,4.30E-09,,,-9.37E-07,0
-9.36E-07,2.82E-10,-1.21E-07,1.17E-09,-1.14E-06,3.93E-09,,,-9.36E-07,0
-9.35E-07,5.19E-10,-1.22E-07,8.60E-10,-1.14E-06,3.92E-09,,,-9.35E-07,0
-9.34E-07,7.43E-10,-1.23E-07,1.07E-09,-1.14E-06,4.18E-09,,,-9.34E-07,0
-9.33E-07,6.76E-10,-1.24E-07,1.05E-09,-1.14E-06,4.02E-09,,,-9.33E-07,0
-9.32E-07,7.50E-10,-1.25E-07,1.07E-09,-1.14E-06,4.17E-09,,,-9.32E-07,0
-9.31E-07,8.92E-10,-1.26E-07,1.26E-09,-1.14E-06,4.20E-09,,,-9.31E-07,0
-9.30E-07,1.05E-09,-1.27E-07,1.15E-09,-1.14E-06,4.34E-09,,,-9.30E-07,0
-9.29E-07,1.27E-09,-1.28E-07,1.22E-09,-1.14E-06,4.29E-09,,,-9.29E-07,0
-9.28E-07,1.13E-09,-1.29E-07,1.60E-09,-1.14E-06,4.32E-09,,,-9.28E-07,0
-9.27E-07,8.09E-10,-1.30E-07,1.78E-09,-1.14E-06,4.29E-09,,,-9.27E-07,0
-9.25E-07,7.36E-10,-1.31E-07,2.07E-09,-1.14E-06,4.16E-09,,,-9.25E-07,0
-9.24E-07,6.49E-10,-1.32E-07,2.13E-09,-1.14E-06,3.85E-09,,,-9.24E-07,0
-9.23E-07,8.47E-10,-1.33E-07,2.02E-09,-1.14E-06,3.77E-09,,,-9.23E-07,0
-9.22E-07,9.89E-10,-1.34E-07,2.16E-09,-1.14E-06,3.85E-09,,,-9.22E-07,0
-9.21E-07,9.69E-10,-1.35E-07,2.10E-09,-1.14E-06,4.39E-09,,,-9.21E-07,0
-9.20E-07,8.07E-10,-1.36E-07,1.88E-09,-1.14E-06,4.78E-09,,,-9.20E-07,0
-9.19E-07,5.89E-10,-1.37E-07,1.76E-09,-1.14E-06,4.62E-09,,,-9.19E-07,0
-9.18E-07,5.91E-10,-1.38E-07,1.90E-09,-1.14E-06,4.64E-09,,,-9.18E-07,0
-9.17E-07,8.05E-10,-1.39E-07,2.29E-09,-1.14E-06,4.56E-09,,,-9.17E-07,0
-9.16E-07,1.08E-09,-1.40E-07,2.15E-09,-1.14E-06,4.85E-09,,,-9.16E-07,0
-9.15E-07,1.19E-09,-1.41E-07,1.96E-09,-1.14E-06,4.79E-09,,,-9.15E-07,0
-9.14E-07,1.22E-09,-1.42E-07,2.28E-09,-1.14E-06,4.67E-09,,,-9.14E-07,0
-9.12E-07,1.45E-09,-1.43E-07,2.08E-09,-1.14E-06,4.50E-09,,,-9.12E-07,0
-9.11E-07,1.60E-09,-1.45E-07,2.18E-09,-1.14E-06,4.55E-09,,,-9.11E-07,0
-9.10E-07,1.98E-09,-1.46E-07,2.25E-09,-1.14E-06,4.51E-09,,,-9.10E-07,0
